연번,업종명,업소명,소재지(도로명),소재지(지번),데이터기준일
1,유흥주점영업,로얄노래주점,"인천광역시 남동구 경인로626번길 25, 1층 (간석동)",인천광역시 남동구 간석동 277-5 1층전부 ,2024-10-10
2,유흥주점영업,퀸비,"인천광역시 남동구 경인로626번길 25, 지하1층 (간석동)",인천광역시 남동구 간석동 277-5 지하1층 ,2024-10-10
3,유흥주점영업,스탠드바변강쇠,"인천광역시 남동구 남동대로 923, 지하1층 (간석동)",인천광역시 남동구 간석동 276-7 지하1층전체 ,2024-10-10
4,유흥주점영업,도도,"인천광역시 남동구 남동대로922번길 39 (간석동, 지하1층 )",인천광역시 남동구 간석동 174-24 지하1층 ,2024-10-10
5,유흥주점영업,차차차 민속주점,"인천광역시 남동구 백범로 325-2, 지하1층 (간석동)",인천광역시 남동구 간석동 122-8 ,2024-10-10
6,유흥주점영업,백악관카바레,"인천광역시 남동구 용천로 154 (간석동, 지하1층)",인천광역시 남동구 간석동 39-8 지하1층 ,2024-10-10
7,유흥주점영업,아리랑,"인천광역시 남동구 남동대로 923, 3층 (간석동)",인천광역시 남동구 간석동 276-7 3층전부 ,2024-10-10
8,유흥주점영업,대우,"인천광역시 남동구 석촌로 43, 4층 (간석동)",인천광역시 남동구 간석동 211-5 외1필지 4층전체 ,2024-10-10
9,유흥주점영업,투페이스,"인천광역시 남동구 남동대로 920, 801호 (간석동, 대원플라자)",인천광역시 남동구 간석동 211-2 (남동대로 920) 대원플라자 801호 ,2024-10-10
10,유흥주점영업,비밀,"인천광역시 남동구 남동대로922번길 25 (간석동, 지하1층전부)",인천광역시 남동구 간석동 174-3 지하1층전부 ,2024-10-10
11,유흥주점영업,궁전,"인천광역시 남동구 용천로153번길 44 (간석동, 지하1층일부)",인천광역시 남동구 간석동 123-11 지하1층일부 ,2024-10-10
12,유흥주점영업,와와(WAWA)노래클럽,"인천광역시 남동구 남동대로922번길 14, 3층 일부호 (간석동)",인천광역시 남동구 간석동 176-5 3층일부 ,2024-10-10
13,유흥주점영업,큐브,"인천광역시 남동구 남동대로 924, 1층 13호 (간석동)",인천광역시 남동구 간석동 213-8 1층일부 ,2024-10-10
14,유흥주점영업,루이스,"인천광역시 남동구 석촌로 41 (간석동, 지하1층)",인천광역시 남동구 간석동 211-7 지하1층 ,2024-10-10
15,유흥주점영업,밤꽃,"인천광역시 남동구 석촌로 49 (간석동, 지하1층전부)",인천광역시 남동구 간석동 213-14 지하1층전부 ,2024-10-10
16,유흥주점영업,명동노래타운,"인천광역시 남동구 남동대로922번길 39, 1층 (간석동)",인천광역시 남동구 간석동 174-24 1층전체 ,2024-10-10
17,유흥주점영업,플레이 노래클럽,"인천광역시 남동구 남동대로922번길 37, 1층 일부호 (간석동)",인천광역시 남동구 간석동 174-21 1층일부 ,2024-10-10
18,유흥주점영업,도깨비,"인천광역시 남동구 석촌로 52 (간석동, 3층)",인천광역시 남동구 간석동 173-28 3층 ,2024-10-10
19,유흥주점영업,놀이터,"인천광역시 남동구 석촌로 52, 2층 (간석동)",인천광역시 남동구 간석동 173-28 2층 ,2024-10-10
20,유흥주점영업,준코뮤직타운 인천간석점,"인천광역시 남동구 석촌로 41 (간석동, 7층전부)",인천광역시 남동구 간석동 211-7 7층전부 ,2024-10-10
21,유흥주점영업,누리노래주점,"인천광역시 남동구 용천로153번길 49, 지하1층 (간석동)",인천광역시 남동구 간석동 169-13 지하1층 ,2024-10-10
22,유흥주점영업,나비룸크럽,"인천광역시 남동구 석촌로 41, 4층 (간석동)",인천광역시 남동구 간석동 211-7 4층 ,2024-10-10
23,유흥주점영업,엑스노래클럽,"인천광역시 남동구 석촌로 52, 지하1층 (간석동)",인천광역시 남동구 간석동 173-28 (두리길 16) 지하1층전체 ,2024-10-10
24,유흥주점영업,나인투나인노래타운주점,"인천광역시 남동구 인하로 497-24, 조한빌딩 7층 701호 (구월동)",인천광역시 남동구 구월동 1473 조한빌딩 7층 701호 ,2024-10-10
25,유흥주점영업,첫사랑,인천광역시 남동구 남동대로921번길 15 (간석동),인천광역시 남동구 간석동 314-1 ,2024-10-10
26,유흥주점영업,태평양,"인천광역시 남동구 남동대로921번길 15, 1층 5호 (간석동)",인천광역시 남동구 간석동 314-1 1층 5호 ,2024-10-10
27,유흥주점영업,짱노래짱주점,"인천광역시 남동구 경인로 637, 지하1층 (간석동)",인천광역시 남동구 간석동 239-5 (경인로 637) 지하1층일부 ,2024-10-10
28,유흥주점영업,커플,"인천광역시 남동구 남동대로921번길 15 (간석동,(수정길 14-1) 5호)",인천광역시 남동구 간석동 314-1 (수정길 14-1) 5호 ,2024-10-10
29,유흥주점영업,드링코노래타운(주점),"인천광역시 남동구 인하로 497-24 (구월동, 6층)",인천광역시 남동구 구월동 1473 6층 ,2024-10-10
30,유흥주점영업,사이공(sai gon)간석베트남노래클럽,"인천광역시 남동구 석촌로 41, 3층 (간석동)",인천광역시 남동구 간석동 211-7 3층전부 ,2024-10-10
31,유흥주점영업,앗싸노래타운,"인천광역시 남동구 남동대로922번길 24, 지하1층 (간석동)",인천광역시 남동구 간석동 175-3 지하1층 ,2024-10-10
32,유흥주점영업,티파니타운,"인천광역시 남동구 석촌로 43, 5층 (간석동)",인천광역시 남동구 간석동 211-5 5층 ,2024-10-10
33,유흥주점영업,실크로드,"인천광역시 남동구 석촌로46번길 31-1, 1층 (간석동)",인천광역시 남동구 간석동 168-2 1층 ,2024-10-10
34,유흥주점영업,여우노래클럽,"인천광역시 남동구 남동대로922번길 14, 지하1층 (간석동)",인천광역시 남동구 간석동 176-5 지하1층전부 ,2024-10-10
35,유흥주점영업,이지크럽,"인천광역시 남동구 경인로644번길 119, 지하1층 1호 (간석동)",인천광역시 남동구 간석동 51-13 지하1층 1호 ,2024-10-10
36,유흥주점영업,설탕,"인천광역시 남동구 남동대로922번길 18, 1층 (간석동)",인천광역시 남동구 간석동 176-6 (남동대로922번길 18)외1필지(175-5) 1층전부 ,2024-10-10
37,유흥주점영업,수국노래타운,"인천광역시 남동구 용천로153번길 31 (간석동, 지하1층)",인천광역시 남동구 간석동 125-8 지하1층 ,2024-10-10
38,유흥주점영업,제우스,"인천광역시 남동구 석촌로 47, 지하1층 (간석동)",인천광역시 남동구 간석동 213-15 지하1층전부 ,2024-10-10
39,유흥주점영업,쮸쮸빵빵,인천광역시 남동구 남동대로915번길 36 (간석동),인천광역시 남동구 간석동 318-2 ,2024-10-10
40,유흥주점영업,다국적,"인천광역시 남동구 남동대로922번길 17, 지하1층 (간석동)",인천광역시 남동구 간석동 174-18 지하1층 전부 ,2024-10-10
41,유흥주점영업,썬샤인,"인천광역시 남동구 남동대로 927, 1층 (간석동)",인천광역시 남동구 간석동 275-2 1층일부 ,2024-10-10
42,유흥주점영업,명월관,"인천광역시 남동구 남동대로915번길 36, 1층 일부호 (간석동)",인천광역시 남동구 간석동 318-2 1층일부 ,2024-10-10
43,유흥주점영업,앵콜노래클럽,"인천광역시 남동구 석촌로46번길 31-1, 지하1층 (간석동)",인천광역시 남동구 간석동 168-2 지하1층 ,2024-10-10
44,유흥주점영업,윈저주점노래클럽,"인천광역시 남동구 용천로153번길 24, 2층 (간석동)",인천광역시 남동구 간석동 123-3 2층 ,2024-10-10
45,유흥주점영업,마블노래클럽,"인천광역시 남동구 남동대로916번길 3, 지하1층 (간석동)",인천광역시 남동구 간석동 211-3 지하1층 ,2024-10-10
46,유흥주점영업,에이클럽,인천광역시 남동구 경인로 620-1 (간석동),인천광역시 남동구 간석동 316-5 ,2024-10-10
